,total_income,pl_ratio,profit_count,loss_count,exit_count,sma,ema,sma_len,ema_len,atr_rot,year,expected
0,209041.16275322175,0.4535714285714285,127,153,14,30,170,10,40,1,2023-01-01,
0,339052.82090288796,0.4764044943820225,212,233,13,20,150,5,35,1,2023-01-01,
0,134702.4147582892,0.7572815533980582,78,25,33,40,150,35,20,4,2023-01-01,
0,123288.6419495754,0.6923076923076923,54,24,25,20,180,30,15,4,2023-01-01,
0,108557.38132787716,0.6814159292035398,77,36,22,50,170,40,25,4,2023-01-01,
0,391619.84129704954,0.5879265091863517,224,157,25,40,190,20,5,2,2023-01-01,
0,505211.5024665344,0.6295454545454545,277,163,25,60,160,25,10,2,2023-01-01,
0,346484.3323700048,0.5799256505576208,156,113,25,30,170,10,40,2,2023-01-01,
0,490571.30573880253,0.5640394088669951,229,177,52,20,150,5,35,2,2023-01-01,
0,94766.8064875165,0.4916666666666666,59,61,3,40,150,35,25,1,2023-01-01,
0,96263.55398242798,0.5632183908045977,49,38,3,20,180,30,20,1,2023-01-01,
0,98112.73390028357,0.4954954954954955,55,56,3,50,170,40,30,1,2023-01-01,
0,409811.9822559454,0.6579710144927536,227,118,61,40,190,20,5,3,2023-01-01,
0,530626.11838613,0.7257281553398058,299,113,53,60,160,25,10,3,2023-01-01,
0,343825.7702124388,0.6371308016877637,151,86,57,30,170,10,40,3,2023-01-01,
0,506562.49759328587,0.6392961876832844,218,123,117,20,150,5,35,3,2023-01-01,
0,136111.50538766672,0.6379310344827587,74,42,7,40,150,35,25,2,2023-01-01,
0,124874.15490919746,0.6206896551724138,54,33,3,20,180,30,20,2,2023-01-01,
0,107421.91662636814,0.5688073394495413,62,47,5,50,170,40,30,2,2023-01-01,
0,313204.8560574141,0.6750788643533123,214,103,89,40,190,20,5,4,2023-01-01,
0,450894.09484824893,0.7185792349726776,263,103,99,60,160,25,10,4,2023-01-01,
0,274063.45494747587,0.7,147,63,84,30,170,10,40,4,2023-01-01,
0,486460.56960937346,0.7432432432432432,220,76,162,20,150,5,35,4,2023-01-01,
0,124301.19323750817,0.6513761467889908,71,38,14,40,150,35,25,3,2023-01-01,
0,134717.8429604925,0.6582278481012658,52,27,11,20,180,30,20,3,2023-01-01,
0,119797.95276739508,0.6826923076923077,71,33,10,50,170,40,30,3,2023-01-01,
0,235454.56778196307,0.4513274336283185,153,186,15,40,190,20,10,1,2023-01-01,
0,389241.6562539602,0.4842615012106537,200,213,9,60,160,25,15,1,2023-01-01,
0,309790.49610895826,0.4555084745762712,215,257,18,30,170,15,5,1,2023-01-01,
0,345377.68423236534,0.48,216,234,14,20,150,5,40,1,2023-01-01,
0,124592.54721413185,0.7634408602150538,71,22,30,40,150,35,25,4,2023-01-01,
0,97682.27052473529,0.676056338028169,48,23,19,20,180,30,20,4,2023-01-01,
0,99554.9512705112,0.7040816326530612,69,29,16,50,170,40,30,4,2023-01-01,
0,330172.78162142076,0.5688073394495413,186,141,27,40,190,20,10,2,2023-01-01,
0,475888.244655436,0.6363636363636364,252,144,26,60,160,25,15,2,2023-01-01,
0,466936.4812552895,0.5814977973568282,264,190,36,30,170,15,5,2,2023-01-01,
0,498093.2302326689,0.5693430656934306,234,177,53,20,150,5,40,2,2023-01-01,
0,80164.8324874304,0.4752475247524752,48,53,3,40,150,35,30,1,2023-01-01,
0,94047.7154333156,0.581081081081081,43,31,3,20,180,30,25,1,2023-01-01,
0,83501.5752694883,0.495049504950495,50,51,2,50,170,40,35,1,2023-01-01,
0,339104.30313178594,0.6426116838487973,187,104,63,40,190,20,10,3,2023-01-01,
0,488332.7312675206,0.7282608695652174,268,100,54,60,160,25,15,3,2023-01-01,
0,428624.6968137005,0.6274509803921569,256,152,82,30,170,15,5,3,2023-01-01,
0,504996.1616273364,0.6347826086956522,219,126,119,20,150,5,40,3,2023-01-01,
0,118183.90391286224,0.6494845360824743,63,34,7,40,150,35,30,2,2023-01-01,
0,122539.1696662213,0.6486486486486487,48,26,3,20,180,30,25,2,2023-01-01,
0,94880.6706631361,0.5656565656565656,56,43,4,50,170,40,35,2,2023-01-01,
0,268619.4508840308,0.6690909090909091,184,91,79,40,190,20,10,4,2023-01-01,
0,431364.1752203303,0.7393939393939394,244,86,92,60,160,25,15,4,2023-01-01,
0,376541.8004520679,0.664804469273743,238,120,132,30,170,15,5,4,2023-01-01,
0,478846.2656392477,0.7333333333333333,220,80,164,20,150,5,40,4,2023-01-01,
0,128527.2964520235,0.6716417910447762,45,22,10,20,180,30,25,3,2023-01-01,
0,111506.63403844448,0.6813186813186813,62,29,13,40,150,35,30,3,2023-01-01,
0,114198.38288213967,0.6774193548387096,63,30,10,50,170,40,35,3,2023-01-01,
0,230396.3241354472,0.4617834394904458,145,169,13,40,190,20,15,1,2023-01-01,
0,370450.3581107366,0.4972677595628415,182,184,7,60,160,25,20,1,2023-01-01,
0,248448.50090367047,0.4543147208121827,179,215,18,30,170,15,10,1,2023-01-01,
0,432547.8641149362,0.4689984101748807,295,334,16,20,150,10,5,1,2023-01-01,
0,88105.8888582918,0.671875,43,21,13,20,180,30,25,4,2023-01-01,
0,118377.57985786848,0.7974683544303798,63,16,25,40,150,35,30,4,2023-01-01,
0,91444.2041078564,0.7045454545454546,62,26,15,50,170,40,35,4,2023-01-01,
0,313331.50711635797,0.5676567656765676,172,131,24,40,190,20,15,2,2023-01-01,
0,427274.1619440223,0.6353276353276354,223,128,22,60,160,25,20,2,2023-01-01,
0,406138.4988107801,0.5759162303664922,220,162,30,30,170,15,10,2,2023-01-01,
0,606691.6681746454,0.5619694397283531,331,258,56,20,150,10,5,2,2023-01-01,
0,96385.65258533791,0.6307692307692307,41,24,3,20,180,30,30,1,2023-01-01,
0,81528.36069666997,0.4787234042553192,45,49,3,40,150,35,35,1,2023-01-01,
0,86086.54713424672,0.4893617021276595,46,48,2,50,170,40,40,1,2023-01-01,
0,326996.5122701656,0.6457564575645757,175,96,56,40,190,20,15,3,2023-01-01,
0,430673.2200465267,0.7261538461538461,236,89,48,60,160,25,20,3,2023-01-01,
0,372086.2626568847,0.6318840579710145,218,127,67,30,170,15,10,3,2023-01-01,
0,577902.1712430592,0.6165703275529865,320,199,126,20,150,10,5,3,2023-01-01,
0,121868.50870217918,0.676923076923077,44,21,3,20,180,30,30,2,2023-01-01,
0,116055.66656426794,0.6666666666666666,60,30,7,40,150,35,35,2,2023-01-01,
0,107706.38019419796,0.5978260869565217,55,37,4,50,170,40,40,2,2023-01-01,
0,241385.47704073967,0.671875,172,84,71,40,190,20,15,4,2023-01-01,
0,389788.3422081299,0.7508650519031141,217,72,84,60,160,25,20,4,2023-01-01,
0,332259.6307090366,0.6776315789473685,206,98,108,30,170,15,10,4,2023-01-01,
0,516157.21992249985,0.6754966887417219,306,147,192,20,150,10,5,4,2023-01-01,
0,126546.34390689032,0.6721311475409836,41,20,7,20,180,30,30,3,2023-01-01,
0,110813.3372274092,0.6941176470588235,59,26,12,40,150,35,35,3,2023-01-01,
0,121749.91020389534,0.7159090909090909,63,25,8,50,170,40,40,3,2023-01-01,
0,228704.7133220701,0.4644067796610169,137,158,13,40,190,20,20,1,2023-01-01,
0,346181.94980725425,0.4787878787878787,158,172,7,60,160,25,25,1,2023-01-01,
0,204412.01725997543,0.4427244582043343,143,180,14,30,170,15,15,1,2023-01-01,
0,357838.34430366603,0.4655172413793103,243,279,14,20,150,10,10,1,2023-01-01,
0,88348.77792713599,0.6779661016949152,40,19,9,20,180,30,30,4,2023-01-01,
0,112271.27332266571,0.8026315789473685,61,15,21,40,150,35,35,4,2023-01-01,
0,96791.95817639152,0.7349397590361446,61,22,13,50,170,40,40,4,2023-01-01,
0,313392.62818534387,0.5743944636678201,166,123,19,40,190,20,20,2,2023-01-01,
0,401950.1665607248,0.6242038216560509,196,118,23,60,160,25,25,2,2023-01-01,
0,359698.63570064877,0.597444089456869,187,126,24,30,170,15,15,2,2023-01-01,
0,503420.6300706471,0.5687885010266941,277,210,49,20,150,10,10,2,2023-01-01,
0,87901.2003470507,0.6065573770491803,37,24,2,20,180,30,35,1,2023-01-01,
0,87346.18137717884,0.5113636363636364,45,43,3,40,150,35,40,1,2023-01-01,
0,493360.19635999633,0.4881756756756756,289,303,19,50,180,5,5,1,2023-01-01,
0,317442.0721640864,0.6498054474708171,167,90,51,40,190,20,20,3,2023-01-01,
0,319359.24295286334,0.6510791366906474,181,97,59,30,170,15,15,3,2023-01-01,
0,409727.4160706771,0.738831615120275,215,76,46,60,160,25,25,3,2023-01-01,
0,119172.84227700572,0.7049180327868853,43,18,2,20,180,30,35,2,2023-01-01,
0,493467.6003945793,0.6193853427895981,262,161,113,20,150,10,10,3,2023-01-01,
0,112086.44066929078,0.6904761904761905,58,26,7,40,150,35,40,2,2023-01-01,
0,623697.6092551327,0.6067019400352733,344,223,44,50,180,5,5,2,2023-01-01,
0,232002.68267029303,0.6557377049180327,160,84,64,40,190,20,20,4,2023-01-01,
0,364579.7455315431,0.7644787644787645,198,61,78,60,160,25,25,4,2023-01-01,
0,289768.57173563994,0.6895161290322581,171,77,89,30,170,15,15,4,2023-01-01,
0,122431.08822359271,0.7017543859649122,40,17,6,20,180,30,35,3,2023-01-01,
0,464462.28286875953,0.6765498652291105,251,120,165,20,150,10,10,4,2023-01-01,
0,107187.70713906214,0.7125,57,23,11,40,150,35,40,3,2023-01-01,
0,578120.9314180147,0.6514285714285715,342,183,86,50,180,5,5,3,2023-01-01,
0,210437.4600027298,0.4575645756457565,124,147,13,40,190,20,25,1,2023-01-01,
0,379588.8422213246,0.5231788079470199,158,144,7,60,160,25,30,1,2023-01-01,
0,173476.13609072083,0.4240282685512367,120,163,13,30,170,15,20,1,2023-01-01,
0,85397.86506874843,0.6785714285714286,38,18,7,20,180,30,35,4,2023-01-01,
0,296015.4149837345,0.4608501118568233,206,241,13,20,150,10,15,1,2023-01-01,
0,109664.98960403798,0.8194444444444444,59,13,19,40,150,35,40,4,2023-01-01,
0,504200.01245427615,0.680672268907563,324,152,135,50,180,5,5,4,2023-01-01,
0,310981.93929540436,0.6015037593984962,160,106,18,40,190,20,25,2,2023-01-01,
0,406135.8652939953,0.6494845360824743,189,102,18,60,160,25,30,2,2023-01-01,
0,342307.77240475756,0.5905797101449275,163,113,20,30,170,15,20,2,2023-01-01,
0,88424.5410127188,0.6727272727272727,37,18,2,20,180,30,40,1,2023-01-01,
0,148756.85171978408,0.5283018867924528,84,75,5,40,150,40,5,1,2023-01-01,
0,407053.025328794,0.5434782608695652,225,189,46,20,150,10,15,2,2023-01-01,
0,430104.6611118544,0.4809885931558935,253,273,18,50,180,5,10,1,2023-01-01,
0,314918.20272309723,0.6791666666666667,163,77,44,40,190,20,25,3,2023-01-01,
0,288729.3607670624,0.6322314049586777,153,89,54,30,170,15,20,3,2023-01-01,
0,389002.8611052532,0.7564575645756457,205,66,38,60,160,25,30,3,2023-01-01,
0,121685.07447490132,0.7454545454545455,41,14,2,20,180,30,40,2,2023-01-01,
0,168223.66876956617,0.6078431372549019,93,60,11,40,150,40,5,2,2023-01-01,
0,412456.7402221345,0.603399433427762,213,140,107,20,150,10,15,3,2023-01-01,
0,578847.6421542359,0.6063618290258449,305,198,41,50,180,5,10,2,2023-01-01,
0,238124.5365445459,0.683982683982684,158,73,53,40,190,20,25,4,2023-01-01,
0,347098.3921635808,0.7714285714285715,189,56,64,60,160,25,30,4,2023-01-01,
0,265985.66481021827,0.6944444444444444,150,66,80,30,170,15,20,4,2023-01-01,
0,125968.60172648924,0.7692307692307693,40,12,5,20,180,30,40,3,2023-01-01,
0,164631.02900095592,0.6713286713286714,96,47,21,40,150,40,5,3,2023-01-01,
0,395021.06204078125,0.6785714285714286,209,99,152,20,150,10,15,4,2023-01-01,
0,498130.59216022654,0.6479481641468683,300,163,81,50,180,5,10,3,2023-01-01,
0,192124.3333107163,0.4484126984126984,113,139,13,40,190,20,30,1,2023-01-01,
0,166321.52018233828,0.4384615384615384,114,146,13,30,170,15,25,1,2023-01-01,
