,Company Name,Industry,stock
306,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL.NS
307,Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS
308,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS
309,Mastek Ltd.,Information Technology,MASTEK.NS
310,Max Financial Services Ltd.,Financial Services,MFSL.NS
311,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH.NS
312,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK.NS
313,Medplus Health Services Ltd.,Consumer Services,MEDPLUS.NS
314,Meghmani Finechem Ltd.,Chemicals,MFL.NS
315,Metro Brands Ltd.,Consumer Durables,METROBRAND.NS
316,Metropolis Healthcare Ltd.,Healthcare,METROPOLIS.NS
317,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI.NS
318,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS
319,MphasiS Ltd.,Information Technology,MPHASIS.NS
320,Multi Commodity Exchange of India Ltd.,Financial Services,MCX.NS
321,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN.NS
322,NATCO Pharma Ltd.,Healthcare,NATCOPHARM.NS
323,NBCC (India) Ltd.,Construction,NBCC.NS
324,NCC Ltd.,Construction,NCC.NS
325,NHPC Ltd.,Power,NHPC.NS
326,NLC India Ltd.,Power,NLCINDIA.NS
327,NMDC Ltd.,Metals & Mining,NMDC.NS
328,NMDC Steel Ltd.,Metals & Mining,NSLNISP.NS
329,NOCIL Ltd.,Chemicals,NOCIL.NS
330,NTPC Ltd.,Power,NTPC.NS
331,Narayana Hrudayalaya Ltd.,Healthcare,NH.NS
332,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS
333,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS
334,Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA.NS
335,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS
336,Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18.NS
337,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA.NS
338,Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS
339,Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS
340,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS
341,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL.NS
342,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA.NS
343,One 97 Communications Ltd.,Financial Services,PAYTM.NS
344,Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS
345,Orient Electric Ltd.,Consumer Durables,ORIENTELEC.NS
